Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Casa Blanca,Rum,N/A,Cocktail glass,N/A,Light rum,2 oz ,Triple sec,1 1/2 tsp ,Lime juice,1 1/2 tsp ,Maraschino liqueur,1 1/2 tsp ,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Clover Club,Gin,N/A,Cocktail glass,N/A,Gin,1 1/2 oz ,Grenadine,2 tsp ,Lemon,Juice of 1/2 ,Egg white,1 ,,,,,,,,,,,,,,,,,,,,,,,"1: Dry shake ingredients to emulsify, add ice, shake and served straight up.",,,,,,,,,,,,,,,,,,,,,,
Caipirissima,Rum,N/A,Collins Glass,N/A,Lime,2 ,Sugar,2 tblsp ,White rum,2-3 oz ,Ice,crushed ,,,,,,,,,,,,,,,,,,,,,,,1: Same as Caipirinha but instead of cachaca you add WHITE RUM.,,,,,,,,,,,,,,,,,,,,,,
City Slicker,Brandy,N/A,Cocktail glass,N/A,Brandy,2 oz ,Triple sec,1/2 oz ,Lemon juice,1 tblsp ,,,,,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine all of the ingredients.",2: Shake well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
Campari Beer,Other,N/A,Beer mug,N/A,Lager,1 bottle ,Campari,1 1/2 cl ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Use a 15 oz glass.,2: Add Campari first.,3: Fill with beer.,,,,,,,,,,,,,,,,,,,,
Chicago Fizz,Rum,N/A,Highball glass,N/A,Light rum,1 oz ,Port,1 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,Carbonated water,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes.,"2: Fill with carbonated water, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Cosmopolitan,Vodka,N/A,Cocktail glass,N/A,Vodka,1 1/4 oz ,Lime juice,1/4 oz ,Cointreau,1/4 oz ,Cranberry juice,1/4 cup ,,,,,,,,,,,,,,,,,,,,,,,1: Add all ingredients into cocktail shaker filled with ice.,2: Shake well and double strain into large cocktail glass.,3: Garnish with lime wheel.,,,,,,,,,,,,,,,,,,,,
Coffee-Vodka,Vodka,N/A,Collins Glass,N/A,Water,2 cups ,Sugar,2 cups white ,Coffee,1/2 cup instant ,Vanilla,1/2,Vodka,1 1/2 cup,Caramel coloring,,,,,,,,,,,,,,,,,,,,1: Boil water and sugar until dissolved.,2: Turn off heat.,3: Slowly add dry instant coffee and continue stirring.,"4: Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka.",5: Cover tightly and shake vigorously each day for 3 weeks.,6: Strain and filter.,7: Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added.,8: If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.,,,,,,,,,,,,,,,
Casino Royale,Gin,N/A,Whiskey sour glass,N/A,Gin,2 oz ,Lemon juice,1/2 oz ,Maraschino liqueur,1 tsp ,Orange bitters,1 dash ,Egg yolk,1 ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine all of the ingredients.",2: Shake well.,3: Strain into a sour glass.,,,,,,,,,,,,,,,,,,,,
Corpse Reviver,Gin,N/A,Cocktail glass,N/A,Gin,3/4 oz,Triple Sec,3/4 oz,Lillet Blanc,3/4 oz,Lemon Juice,3/4 oz,Absinthe,1 dash,,,,,,,,,,,,,,,,,,,,,"1: Shake, strain, straight up, cocktail glass rinsed with absinthe.",,,,,,,,,,,,,,,,,,,,,,
