Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
White Wine Sangria,Wine,N/A,Pitcher,N/A,Lime,1,lemon,1,White Wine,750 ml,Strawberries,1 cup,Apple,1 cup,Apple Brandy,3 shots,Soda Water,Top,,,,,,,,,,,,,,,,,"1: Chop the Lemon, Lime and other fruits into large chunks.",2: Fill the Pitcher with the white wine and mix in the Apple Brandy.,3: Top to taste with soda water.,,,,,,,,,,,,,,,,,,,,
Whitecap Margarita,Tequila,N/A,Margarita/Coupette glass,N/A,Ice,1 cup ,Tequila,2 oz ,Cream of coconut,1/4 cup ,Lime juice,3 tblsp fresh ,,,,,,,,,,,,,,,,,,,,,,,1: Place all ingredients in a blender and blend until smooth.,2: This makes one drink.,,,,,,,,,,,,,,,,,,,,,
Waikiki Beachcomber,Gin,N/A,Cocktail glass,N/A,Triple sec,3/4 oz ,Gin,3/4 oz ,Pineapple juice,1 tblsp ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Yellow Bird,Rum,N/A,Cocktail glass,N/A,White Rum,3 cl,Galliano,1.5 cl,Triple Sec,1.5 cl,Lime Juice,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,1: Shake and strain into a chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Zorro,Baileys Irish Cream,N/A,Coffee Mug,N/A,Sambuca,2 cl ,Baileys irish cream,2 cl ,White Creme de Menthe,2 cl ,,,,,,,,,,,,,,,,,,,,,,,,,1: add all and pour black coffee and add whipped cream on top.,,,,,,,,,,,,,,,,,,,,,,
Zinger,Schnapps,N/A,Highball glass,N/A,Peachtree schnapps,4 shots ,Surge,4 shots ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Get a shot glass and pour in three shots of the schnapps.,2: Do the same with the Surge Cola.,3: Then down it like Scheetz would.,,,,,,,,,,,,,,,,,,,,
Zoksel,Beer,N/A,Beer pilsner,N/A,Beer,,Root beer,,Lemonade,,Coca-Cola," slice
",7-Up,,Creme de Cassis,,Lemon,,,,,,,,,,,,,,,,,,"1: No specific mixinginstructions, just poor every ingredient in one glass.",2: The lemon goes with it.,,,,,,,,,,,,,,,,,,,,,
Zombie,Rum,N/A,Hurricane glass,N/A,Rum,1 1/2 oz,Gold rum,1 1/2 oz,151 proof rum,1 oz,Pernod,1 tsp,Grenadine,1 tsp,Lime Juice,1 tsp,Angostura Bitters,1 drop,,,,,,,,,,,,,,,,,1: Blend at high speed for no more than 5 seconds.,"2: Pour into a glass, add ice cubes to fill, then add the garnish.","3: *Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.","4: Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.",5: Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.,,,,,,,,,,,,,,,,,,
Zambeer,Beer,N/A,Collins Glass,N/A,Sambuca,1 1/2 oz ,Root beer,Add 10 oz ,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix sambuca with rootbeer and stir.,,,,,,,,,,,,,,,,,,,,,,
Zorbatini,Vodka,N/A,Cocktail glass,N/A,Vodka,1 1/4 oz Stoli ,Ouzo,1/4 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Prepare like a Martini.,2: Garnish with a green olive.,,,,,,,,,,,,,,,,,,,,,
Zenmeister,Beer,N/A,Collins Glass,N/A,Jägermeister,1/2 oz ,Root beer,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix together and enjoy.,,,,,,,,,,,,,,,,,,,,,,
Zipperhead,Liqueur,N/A,Whiskey sour glass,N/A,Chambord raspberry liqueur,1 shot ,Vodka,1 shot ,Soda water,Fill with ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Fill glass with rocks, add straw before putting in liquor.","2: Then add the ingredients in order, trying to keep layered as much as possible (i.",3: e.,"4: Chambord on bottom, then Vodka, Then soda on top).",,,,,,,,,,,,,,,,,,,
Zima Blaster,Liqueur,N/A,Hurricane glass,N/A,Zima,12 oz ,Chambord raspberry liqueur,3 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Fill glass with ice.,"2: Pour in Chambord, then fill with Zima.",3: Mix and enjoy.,,,,,,,,,,,,,,,,,,,,
Zizi Coin-coin,Cointreau,N/A,Margarita/Coupette glass,N/A,Cointreau,5 cl ,Lemon juice,2 cl ,Ice,cubes,Lemon," or lime
",,,,,,,,,,,,,,,,,,,,,,,"1: Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass.",,,,,,,,,,,,,,,,,,,,,,
Zimadori Zinger,Liqueur,N/A,Collins glass,N/A,Midori melon liqueur,1.5 oz ,Zima,12 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour Zima in a collins glass over ice and then pour the shot of Midori.,2: Don't stir.,3: Garnish with a cherry.,,,,,,,,,,,,,,,,,,,,
Zippy's Revenge,Rum,N/A,Old-fashioned glass,N/A,Amaretto,2 oz ,Rum,2 oz ,Kool-Aid,4 oz Grape ,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix Kool-Aid to taste then add Rum and ammaretto.,2: shake well to disolve the sugar in the Kool-Aid.,3: .,4: .,,,,,,,,,,,,,,,,,,,
Ziemes Martini Apfelsaft,Vermouth,N/A,Collins Glass,N/A,Vermouth,4 cl ,Apple juice,16 cl ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Serve without ice.,2: At least the juice shold have room temperature.,,,,,,,,,,,,,,,,,,,,,
